Gender,Location,Total,Age,Num_falls
Male,Driveway,791,65-69,98
Male,Driveway,791,70-74,125
Male,Driveway,791,75-79,136
Male,Driveway,791,80-84,158
Male,Driveway,791,85-89,175
Male,Driveway,791,90-94,79
Male,Driveway,791,95+,20
Male,Outdoor areas,4481,65-69,575
Male,Outdoor areas,4481,70-74,765
Male,Outdoor areas,4481,75-79,831
Male,Outdoor areas,4481,80-84,873
Male,Outdoor areas,4481,85-89,822
Male,Outdoor areas,4481,90-94,499
Male,Outdoor areas,4481,95+,116
Male,Garage,591,65-69,83
Male,Garage,591,70-74,100
Male,Garage,591,75-79,103
Male,Garage,591,80-84,126
Male,Garage,591,85-89,97
Male,Garage,591,90-94,65
Male,Garage,591,95+,17
Male,Bathroom,2962,65-69,311
Male,Bathroom,2962,70-74,420
Male,Bathroom,2962,75-79,472
Male,Bathroom,2962,80-84,616
Male,Bathroom,2962,85-89,630
Male,Bathroom,2962,90-94,381
Male,Bathroom,2962,95+,132
Male,Kitchen,1413,65-69,125
Male,Kitchen,1413,70-74,181
Male,Kitchen,1413,75-79,221
Male,Kitchen,1413,80-84,299
Male,Kitchen,1413,85-89,284
Male,Kitchen,1413,90-94,231
Male,Kitchen,1413,95+,72
Male,Bedroom,2465,65-69,227
Male,Bedroom,2465,70-74,293
Male,Bedroom,2465,75-79,411
Male,Bedroom,2465,80-84,522
Male,Bedroom,2465,85-89,538
Male,Bedroom,2465,90-94,372
Male,Bedroom,2465,95+,102
Male,Laundry,98,65-69,10
Male,Laundry,98,70-74,10
Male,Laundry,98,75-79,13
Male,Laundry,98,80-84,25
Male,Laundry,98,85-89,28
Male,Laundry,98,90-94,9
Male,Laundry,98,95+,3
Male,Indoor living areas,2428,65-69,236
Male,Indoor living areas,2428,70-74,346
Male,Indoor living areas,2428,75-79,398
Male,Indoor living areas,2428,80-84,479
Male,Indoor living areas,2428,85-89,505
Male,Indoor living areas,2428,90-94,370
Male,Indoor living areas,2428,95+,94
Male,Other and unspecified in the home,9835,65-69,1131
Male,Other and unspecified in the home,9835,70-74,1482
Male,Other and unspecified in the home,9835,75-79,1640
